X,Y,top, "ZLEVEL"
3853937.7636923082173, 39486288.036273799837, -800, "-800"
3853947.5916703045368, 39486247.935879401863, -800, "-800"
3853960.3786203968339, 39486196.228341713548, -800, "-800"
3853973.6317120948806, 39486144.520804025233, -800, "-800"
3853987.6713649732992, 39486092.813266336918, -800, "-800"
3853988.8724615387619, 39486088.627322502434, -800, "-800"
3854003.4577914876863, 39486041.105728648603, -800, "-800"
3854020.5835296371952, 39485989.398190960288, -800, "-800"
3854039.2191994525492, 39485937.690653271973, -800, "-800"
3854039.9812307697721, 39485935.725400984287, -800, "-800"
3854060.0523959603161, 39485885.983115583658, -800, "-800"
3854082.4161992785521, 39485834.275577895343, -800, "-800"
3854091.0900000003166, 39485815.393762685359, -800, "-800"
3854091.0900000003166, 39483493.480136096478, -800, "-800"
3854059.9980094218627, 39483455.728844232857, -800, "-800"
3854039.9812307697721, 39483432.819780245423, -800, "-800"
3854014.1404038909823, 39483404.021306544542, -800, "-800"
3853988.8724615387619, 39483377.306274175644, -800, "-800"
3853964.437654399313, 39483352.313768856227, -800, "-800"
3853937.7636923082173, 39483326.230336636305, -800, "-800"
3853910.5009816293605, 39483300.606231160462, -800, "-800"
3853886.6549230772071, 39483278.983652755618, -800, "-800"
3853851.9411506680772, 39483248.898693472147, -800, "-800"
3853835.5461538466625, 39483235.049099504948, -800, "-800"
3853788.4836083096452, 39483197.191155783832, -800, "-800"
3853784.4373846156523, 39483193.982835195959, -800, "-800"
3853733.3286153851077, 39483155.076531209052, -800, "-800"
3853720.1072382107377, 39483145.483618095517, -800, "-800"
3853682.2198461540975, 39483117.915321044624, -800, "-800"
3853647.5835679941811, 39483093.776080407202, -800, "-800"
3853631.1110769235529, 39483082.125134177506, -800, "-800"
3853580.0023076925427, 39483046.907943360507, -800, "-800"
3853572.8909216844477, 39483042.068542718887, -800, "-800"
3853528.8935384619981, 39483011.154292412102, -800, "-800"
3853499.5716242734343, 39482990.361005030572, -800, "-800"
3853477.7847692309879, 39482974.312182150781, -800, "-800"
3853431.3196354378015, 39482938.653467342257, -800, "-800"
3853426.6760000004433, 39482934.945113822818, -800, "-800"
3853375.5672307694331, 39482891.004782050848, -800, "-800"
3853371.2786840614863, 39482886.945929653943, -800, "-800"
3853324.4584615388885, 39482840.048376895487, -800, "-800"
3853320.194005146157, 39482835.238391965628, -800, "-800"
3853277.78021529736, 39482783.530854277313, -800, "-800"
3853273.3496923078783, 39482777.496340706944, -800, "-800"
3853242.9823252796195, 39482731.823316588998, -800, "-800"
3853222.2409230773337, 39482696.143542669713, -800, "-800"
3853213.3933592336252, 39482680.115778900683, -800, "-800"
3853187.4935509022325, 39482628.408241212368, -800, "-800"
3853171.1321538463235, 39482593.299064770341, -800, "-800"
3853163.6132610733621, 39482576.700703524053, -800, "-800"
3853141.4223500317894, 39482524.993165835738, -800, "-800"
3853120.0233846157789, 39482473.440735213459, -800, "-800"
3853119.96077827923, 39482473.285628147423, -800, "-800"
3853099.9567096536048, 39482421.578090459108, -800, "-800"
3853080.5168296699412, 39482369.870552770793, -800, "-800"
3853068.9146153847687, 39482337.995828509331, -800, "-800"
3853061.926042273175, 39482318.163015082479, -800, "-800"
3853044.3466071840376, 39482266.455477394164, -800, "-800"
3853027.3217802401632, 39482214.747939705849, -800, "-800"
3853017.8058461542241, 39482184.920217484236, -800, "-800"
3853011.0888633802533, 39482163.040402017534, -800, "-800"
3852995.6870916229673, 39482111.332864329219, -800, "-800"
3852980.6818972290494, 39482059.625326640904, -800, "-800"
3852966.6970769236796, 39482010.424020811915, -800, "-800"
3852966.0149751133285, 39482007.917788952589, -800, "-800"
3852952.1193579174578, 39481956.210251264274, -800, "-800"
3852938.3563583912328, 39481904.502713575959, -800, "-800"
3852924.6292350557633, 39481852.795175887644, -800, "-800"
3852915.5883076926693, 39481818.953253619373, -800, "-800"
3852911.0375524414703, 39481801.087638199329, -800, "-800"
3852897.6852425360121, 39481749.380100511014, -800, "-800"
3852884.1106372424401, 39481697.6725628227, -800, "-800"
3852870.2173691866919, 39481645.965025134385, -800, "-800"
3852864.4795384621248, 39481625.305904023349, -800, "-800"
3852856.2920392644592, 39481594.25748744607, -800, "-800"
3852842.1628972734325, 39481542.549949757755, -800, "-800"
3852827.4816622193903, 39481490.84241206944, -800, "-800"
3852813.3707692311145, 39481443.294937886298, -800, "-800"
3852812.2039133631624, 39481439.134874381125, -800, "-800"
3852796.9338914924301, 39481387.42733669281, -800, "-800"
3852780.9115972733125, 39481335.719799004495, -800, "-800"
3852764.0327547038905, 39481284.01226131618, -800, "-800"
3852762.26200000057, 39481278.908472679555, -800, "-800"
3852747.1381715866737, 39481232.304723627865, -800, "-800"
3852729.4762235209346, 39481180.59718593955, -800, "-800"
3852711.1532307695597, 39481129.669538132846, -800, "-800"
3852710.8930596788414, 39481128.889648251235, -800, "-800"
3852692.6665560244583, 39481077.182110562921, -800, "-800"
3852673.7470465414226, 39481025.474572874606, -800, "-800"
3852660.0444615390152, 39480989.353285200894, -800, "-800"
3852654.6714111655019, 39480973.767035186291, -800, "-800"
3852636.475234316662, 39480922.059497497976, -800, "-800"
3852618.7107567433268, 39480870.351959809661, -800, "-800"
3852608.9356923080049, 39480840.358963884413, -800, "-800"
3852602.5992428981699, 39480818.644422121346, -800, "-800"
3852589.1939707752317, 39480766.936884433031, -800, "-800"
3852578.9082114500925, 39480715.229346744716, -800, "-800"
3852572.5883316560648, 39480663.521809056401, -800, "-800"
3852570.4571614637971, 39480611.814271368086, -800, "-800"
3852572.0834849555977, 39480560.106733679771, -800, "-800"
3852576.6584560032934, 39480508.399195991457, -800, "-800"
3852583.2611681716517, 39480456.691658303142, -800, "-800"
3852591.081961972639, 39480404.984120614827, -800, "-800"
3852599.5257423934527, 39480353.276582926512, -800, "-800"
3852608.201796665322, 39480301.569045238197, -800, "-800"
3852608.9356923080049, 39480297.018317170441, -800, "-800"
3852617.343915854115, 39480249.861507549882, -800, "-800"
3852626.3055388219655, 39480198.153969861567, -800, "-800"
3852634.9710356821306, 39480146.446432173252, -800, "-800"
3852643.3149742851965, 39480094.738894484937, -800, "-800"
3852651.3352786130272, 39480043.031356796622, -800, "-800"
3852659.0423103384674, 39479991.323819108307, -800, "-800"
3852660.0444615390152, 39479984.153185591102, -800, "-800"
3852666.7402028301731, 39479939.616281419992, -800, "-800"
3852674.1652519069612, 39479887.908743724227, -800, "-800"
3852681.3085136222653, 39479836.201206035912, -800, "-800"
3852688.2121755443513, 39479784.493668347597, -800, "-800"
3852694.9239782430232, 39479732.786130659282, -800, "-800"
3852701.4993459242396, 39479681.078592970967, -800, "-800"
3852708.003208280541, 39479629.371055282652, -800, "-800"
3852711.1532307695597, 39479604.013257049024, -800, "-800"
3852714.625622890424, 39479577.663517594337, -800, "-800"
3852721.4322097958066, 39479525.955979906023, -800, "-800"
3852728.4094045511447, 39479474.248442217708, -800, "-800"
3852735.664102375973, 39479422.540904529393, -800, "-800"
3852743.3078717058524, 39479370.833366841078, -800, "-800"
3852751.4524323036894, 39479319.125829152763, -800, "-800"
3852760.2038611429743, 39479267.418291464448, -800, "-800"
3852762.26200000057, 39479255.976165853441, -800, "-800"
3852769.8264134861529, 39479215.710753776133, -800, "-800"
3852780.2652412354946, 39479164.003216087818, -800, "-800"
3852791.5237869671546, 39479112.295678399503, -800, "-800"
3852803.6287587187253, 39479060.588140711188, -800, "-800"
3852813.3707692311145, 39479021.563752055168, -800, "-800"
3852816.6414554822259, 39479008.880603022873, -800, "-800"
3852830.6685908362269, 39478957.173065334558, -800, "-800"
3852845.4605406727642, 39478905.465527646244, -800, "-800"
3852860.9485597764142, 39478853.757989957929, -800, "-800"
3852864.4795384621248, 39478842.36625327915, -800, "-800"
3852877.2960180351511, 39478802.050452269614, -800, "-800"
3852894.2470589322038, 39478750.342914581299, -800, "-800"
